Source URL,Target URL,Status,Parameters
mityjohn.com/?p=941,https://mityjohn.com/blog/ghosts-in-the-machine-i-built-a-haunted-it-sim-by-inviting-a-ghost-in/,301,
mityjohn.com/?p=931,https://mityjohn.com/blog/mitystudio-i-cant-or-hardly-play-music-so-i-built-something-that-can/,301,
mityjohn.com/?p=921,https://mityjohn.com/blog/when-a-cat-makes-you-publish-youre-first-picture-book/,301,
mityjohn.com/?p=891,https://mityjohn.com/blog/the-workflow-is-the-new-unit-of-software-delivery/,301,
mityjohn.com/?p=852,https://mityjohn.com/blog/pibeat-from-sonic-pi-and-musicagent-to-a-new-live-coding-ide/,301,
mityjohn.com/?p=801,https://mityjohn.com/blog/loveflix-2-0-or-how-i-turned-explosions-into-romance-again/,301,
mityjohn.com/?p=711,https://mityjohn.com/blog/a-guitar-hero-controller-is-still-a-guitar-if-you-treat-it-like-one/,301,
mityjohn.com/?p=688,https://mityjohn.com/blog/scrum-2-0-0-programming-by-intent-and-a-little-faith/,301,
mityjohn.com/?p=681,https://mityjohn.com/blog/scrum-programming-language-release-v1-3-0/,301,
mityjohn.com/?p=667,https://mityjohn.com/blog/meet-scrummy-because-even-a-programming-language-needs-a-hug/,301,
mityjohn.com/?p=603,https://mityjohn.com/blog/code-chaos-copilots-the-tech-magic-behind-hockey-madness/,301,
mityjohn.com/?p=602,https://mityjohn.com/blog/hockey-madness-celebrating-ten-years-with-chaos-and-charm/,301,
mityjohn.com/?p=572,https://mityjohn.com/blog/outcoded-by-our-kids-it-took-us-20-years-they-used-20-prompts/,301,
mityjohn.com/?p=553,https://mityjohn.com/blog/soundfonts-the-unsung-heroes-of-virtual-instruments/,301,
mityjohn.com/?p=520,https://mityjohn.com/blog/from-hitster-to-hipster-building-a-music-game-with-agentic-ai-in-just-2-evenings/,301,
mityjohn.com/?p=483,https://mityjohn.com/blog/typix-personality-assessments-meet-vibe-coding/,301,
mityjohn.com/?p=464,https://mityjohn.com/blog/tdd-is-dead-long-live-the-test/,301,
mityjohn.com/?p=454,https://mityjohn.com/blog/musicagent-v1-5-0-creative-mode-is-here/,301,
mityjohn.com/?p=441,https://mityjohn.com/blog/music-agent-v1-4-0-smarter-faster-and-ready-to-groove/,301,
mityjohn.com/?p=435,https://mityjohn.com/blog/local-embedding-the-secret-sauce-for-smarter-ai-in-musicagent/,301,
mityjohn.com/?p=428,https://mityjohn.com/blog/ai-grooves-finding-the-funk-with-sentencetransformers/,301,
mityjohn.com/?p=398,https://mityjohn.com/blog/loveflix-where-every-movie-finds-its-heart/,301,
mityjohn.com/?p=390,https://mityjohn.com/blog/musicagent-yamnet-integration-for-enhanced-music-creation/,301,
mityjohn.com/?p=379,https://mityjohn.com/blog/music-agent-v1-3-0-now-supporting-samples/,301,
mityjohn.com/?p=367,https://mityjohn.com/blog/testing-the-obvious-my-music-is-out-and-its-ready-to-rock-your-ears/,301,
mityjohn.com/?p=360,https://mityjohn.com/blog/token-tuning-mastering-character-token-limits-for-anthropic-and-openai-models/,301,
mityjohn.com/?p=342,https://mityjohn.com/blog/scrum-becomes-2/,301,
mityjohn.com/?p=353,https://mityjohn.com/blog/unveiling-music-agent-1-2-0-a-revolutionary-web-experience-for-music-creation/,301,
mityjohn.com/?p=349,https://mityjohn.com/blog/introducing-music-agent-1-1-0-enhancing-creativity-with-new-features/,301,
mityjohn.com/?p=311,https://mityjohn.com/blog/musicagent-1-0-0-now-with-100-more-musical-magic/,301,
mityjohn.com/?p=207,https://mityjohn.com/blog/rise-of-the-gpt-music-agent/,301,
mityjohn.com/?p=138,https://mityjohn.com/blog/code-crafters-and-ai-wizards/,301,
